"Population by City or County"
"Current date: 2/15/2026 7:25:53 PM (Eastern Standard Time)"
"Data source: Virginia_SS, Offense Data"
"Measures: Estimated Population"
"Incident Date","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Jurisdiction by Geography"
"Culpeper County","47,732","48,223","48,558","48,908","49,388","50,272","51,282","51,998","52,661","53,097","54,089","54,831","55,770"
