"Population by City or County"
"Current date: 2/15/2026 7:22:51 PM (Eastern Standard Time)"
"Data source: Virginia_SS, Offense Data"
"Measures: Estimated Population"
"Incident Date","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Jurisdiction by Geography"
"Madison County","13,472","13,333","13,353","13,099","13,099","13,190","13,278","13,251","13,844","13,871","14,017","14,026","13,982"
