"Population by City or County"
"Current date: 2/15/2026 7:26:26 PM (Eastern Standard Time)"
"Data source: Virginia_SS, Offense Data"
"Measures: Estimated Population"
"Incident Date","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Jurisdiction by Geography"
"Page County","24,215","24,079","24,083","23,719","23,586","23,665","23,833","23,857","23,693","23,629","23,374","23,341","23,523"
