,CVRJ_Baseline_NoCulpeper,CVRJ_SE,Culpeper_In_CVRJ,Culpeper_SE,CVRJ_Excl47_Forecast,CVRJ_Excl47_SE,Combined_Load,Combined_SE,Capacity,Over_Capacity
2026-12-31,435.34104023822994,36.18474623214943,124.90445724515075,20.12368235519937,303.0720180151269,40.19798216388712,560.2454974833806,41.404087375741234,660,False
2027-12-31,446.46420765618643,39.81583590202256,142.52942992209273,42.29749872600355,298.3433276619672,56.77388309824556,588.9936375782792,58.08940684025842,660,False
2028-12-31,455.8029887309522,40.691583369083645,159.18144865747433,55.50987828080657,293.6142315815536,69.44794267742473,614.9844373884266,68.82696814354854,660,False
2029-12-31,464.42459710601867,40.95891074750937,175.90505868833486,66.18357686949778,288.88476856418487,80.09901861614338,640.3296557943536,77.83250103178723,660,False
2030-12-31,472.7579625884196,41.05328357548569,192.62340093274668,75.3571173296145,284.1549736915417,89.45643708723307,665.3813635211663,85.8141434995335,660,True
2031-12-31,480.9754787569705,41.089346141342,209.34213078816504,83.52939881951657,279.42487869125677,97.8949773181387,690.3176095451356,93.0886396585151,660,True
2032-12-31,489.1464332795587,41.103763893753644,226.06083212262968,90.97045206796327,274.694512257584,105.63766480553626,715.2072654021883,99.82556063295135,660,True
2033-12-31,497.2986739504833,41.109770506407024,242.77953555570548,97.84725865824122,269.96390034141035,112.83002926401728,740.0782095061888,106.13246090627605,660,True
2034-12-31,505.4433932325725,41.11244306266234,259.4982388343626,104.27151523812269,265.2330664125409,119.5732771093501,764.9416320669351,112.08381624763989,660,True
2035-12-31,513.585089551189,41.11378312469024,276.21694212438206,110.32230850663029,260.5020316969069,125.94116188543677,789.802031675571,117.7342554954002,660,True
