Booking #,Sex,Race,Age,Book Date,Unnamed: 5,Release Date,Length of Stay,County Code,Release Authority,Offense Code,Offense Description,Unnamed: 12,Unnamed: 13
2025-00035,M,W,32,1/5/2025  4:26:00 AM,,1/9/2025  10:38:00 AM,4.26,79,BOND,ASL1347F6,ASL-STRANGULATION RESULTING IN WOUNDING OR BODILY INJURY,,
2025-00036,M,B,42,1/5/2025  4:38:00 AM,,1/8/2025  5:18:00 PM,3.53,3,BOND,LAR2412F6,"UNAUTHORIZED USE OF ANIMAL, AUTO, BOAT WORTH $1000 OR MORE",,
2025-00037,F,W,34,1/5/2025  6:13:00 AM,,1/5/2025  7:49:00 AM,1.0,79,BOND,LAR2366M1,LARCENY LESS THAN $1000 NOT FROM PERSON,,
2025-00038,M,W,47,1/5/2025  10:00:00 AM,,1/5/2025  10:01:00 AM,1.0,113,SENTENCE SERVED,LIC6809M1,TRAFFIC - LICENSE REVOKED - DRIVING WHILE (FIRST OFFENSE),,
2025-00039,F,W,64,1/5/2025  11:19:00 AM,,1/5/2025  5:00:00 PM,1.0,109,BOND,ASL1315M1,ASSAULT SIMPLE ASSAULT - AGAINST FAMILY MEMBER,,
2025-00040,M,W,30,1/5/2025  7:00:00 PM,,1/6/2025  7:00:00 PM,1.0,65,SENTENCE SERVED,DWI5413M1,DRIVING WHILE INTOXICATED - FIRST CONVICTION,,
2025-00041,M,W,22,1/6/2025  4:44:00 AM,,6/16/2025  2:58:00 PM,161.43,109,SENTENCE SERVED,BUR2219F6,BURGLARY OCCUPIED DWELLING - ENTER - INTENT TO COMMIT MISD.,,
2025-00043,M,W,30,1/6/2025  4:44:00 AM,,1/6/2025  12:48:00 PM,1.0,109,BOND,ASL1315M1,ASSAULT SIMPLE ASSAULT - AGAINST FAMILY MEMBER,,
2025-00044,F,W,22,1/6/2025  12:13:00 PM,,1/6/2025  2:55:00 PM,1.0,79,BOND,ASL1315M1,ASSAULT SIMPLE ASSAULT - AGAINST FAMILY MEMBER,,
2025-00045,M,W,50,1/6/2025  2:55:00 PM,,1/15/2025  6:06:00 PM,9.13,109,BOND,WPN5281F5,WEAPONS FALSE STATEMENTS ON CONSENT FORM,,
2025-00046,M,B,39,1/6/2025  9:25:00 PM,,2/24/2025  7:49:00 PM,48.93,109,SENTENCE SERVED,ASL1315M1,ASSAULT SIMPLE ASSAULT - AGAINST FAMILY MEMBER,,
2025-00047,M,W,62,1/7/2025  7:34:00 PM,,1/8/2025  6:37:00 AM,1.0,137,BOND,ASL1315M1,ASSAULT SIMPLE ASSAULT - AGAINST FAMILY MEMBER,,
2025-00048,M,W,47,1/7/2025  9:47:00 PM,,1/8/2025  9:26:00 AM,1.0,109,BOND,DWI5413M1,DRIVING WHILE INTOXICATED - FIRST CONVICTION,,
2025-00049,M,W,31,1/8/2025  12:15:00 AM,,2/10/2025  4:18:00 PM,33.67,65,HOSPITAL/TREATMENT,ASL1315M1,ASSAULT SIMPLE ASSAULT - AGAINST FAMILY MEMBER,,
2025-00050,M,B,19,1/8/2025  5:20:00 AM,,3/6/2025  3:50:00 PM,57.44,137,JUDGE,ASL1342F6,ASSAULT SIMPLE ASSAULT ON LAW ENFORCEMENT - DOC - FIRE/RESCUE PERSONNEL,,
2025-00051,F,B,28,1/8/2025  11:08:00 AM,,2/25/2025  12:48:00 PM,48.07,65,JUDGE,PRI3261F5,PRISONERS POSSESS - SELL - SECRETE SCH. III DRUG OR MARIJUANA,,
2025-00053,M,W,31,1/8/2025  11:13:00 AM,,1/8/2025  12:40:00 PM,1.0,179,JUDGE,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-00054,F,W,62,1/8/2025  12:42:00 PM,,5/15/2025  8:00:00 AM,126.8,113,SENTENCE SERVED,ASL1342F6,ASSAULT SIMPLE ASSAULT ON LAW ENFORCEMENT - DOC - FIRE/RESCUE PERSONNEL,,
2025-00055,M,W,54,1/8/2025  8:01:00 AM,,3/17/2025  8:14:00 PM,68.51,79,JUDGE,KID1010F5,KIDNAPPING ABDUCT BY FORCE WITHOUT JUSTIFICATION,,
2025-00056,F,W,36,1/8/2025  2:12:00 PM,,2/4/2025  7:26:00 PM,27.22,47,SENTENCE SERVED,NAR3022F5,NARCOTICS POSSESSION,,
2025-00057,M,B,43,1/8/2025  2:12:00 PM,,1/22/2025  6:20:00 PM,14.17,113,JUDGE,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-00058,F,W,31,1/8/2025  3:15:00 PM,,1/14/2025  3:24:00 PM,6.01,109,JUDGE,CON5035S9,"FAIL TO APPEAR AFTER CHARGED W/ FELONY/MISD., OR RELEASED ON SUMMONS",,
2025-00059,M,W,36,1/9/2025  8:00:00 AM,,4/9/2025  8:00:00 AM,90.0,137,SENTENCE SERVED,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-00060,M,B,54,1/9/2025  8:10:00 AM,,1/10/2025  1:12:00 PM,1.21,137,DISMISSED,PRB4851M9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - MISDEMEANOR",,
2025-00061,M,W,43,1/9/2025  11:25:00 AM,,5/16/2025  1:57:00 PM,127.11,79,STATUS CHANGE,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-00062,M,W,33,1/9/2025  12:44:00 PM,,5/10/2025  8:00:00 AM,120.8,109,SENTENCE SERVED,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-00063,M,W,27,1/9/2025  2:41:00 PM,,1/14/2025  6:27:00 PM,5.16,109,BOND,ASL1342F6,ASSAULT SIMPLE ASSAULT ON LAW ENFORCEMENT - DOC - FIRE/RESCUE PERSONNEL,,
2025-00064,M,W,19,1/9/2025  5:25:00 PM,,1/9/2025  10:00:00 PM,1.0,109,BOND,LAR2354F9,"SHOPLIFT, ALTER PRICE TAGS>=$1000",,
2025-00065,M,W,24,1/9/2025  5:25:00 PM,,3/6/2025  8:00:00 AM,55.61,109,BOND,NAR3022F5,NARCOTICS POSSESSION,,
2025-00066,M,W,37,1/9/2025  8:45:00 PM,,3/26/2025  3:24:00 PM,75.78,79,JUDGE,CON5035S9,"FAIL TO APPEAR AFTER CHARGED W/ FELONY/MISD., OR RELEASED ON SUMMONS",,
2025-00067,F,W,33,1/9/2025  9:48:00 PM,,1/10/2025  2:30:00 AM,1.0,99,BOND,HIT6604F5,HIT-DAMAGE TO ATTENDED PROPERTY-DRIVER FAILS TO REPORT$1000,,
2025-00068,F,W,49,1/10/2025  1:00:00 AM,,1/10/2025  4:18:00 PM,1.0,79,BOND,CON5035S9,"FAIL TO APPEAR AFTER CHARGED W/ FELONY/MISD., OR RELEASED ON SUMMONS",,
2025-00069,M,W,47,1/10/2025  6:53:00 AM,,3/5/2025  8:20:00 AM,54.06,109,JUDGE,OBS3732F5,OBS-POSSESS CHILD PORN (SUBSEQUENT OFFENSE),,
2025-00070,M,W,30,1/10/2025  9:10:00 AM,,1/10/2025  2:14:00 PM,1.0,113,BOND,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-00071,M,W,56,1/10/2025  3:24:00 PM,,1/22/2025  5:27:00 PM,12.09,139,BOND,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-00072,M,W,33,1/10/2025  3:28:00 PM,,,355.35,47,,NAR3022F5,NARCOTICS POSSESSION,,
2025-00073,M,W,37,1/10/2025  6:04:00 PM,,1/10/2025  7:20:00 PM,1.0,113,BOND,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-00074,F,B,57,1/10/2025  6:00:00 PM,,1/25/2025  6:00:00 PM,15.0,109,SENTENCE SERVED,LAR2337M1,"SHOPLIFT, ALTER PRICE TAGS <$1000 (FIRST TIME)",,
2025-00075,M,B,36,1/10/2025  7:00:00 PM,,1/12/2025  7:00:00 PM,2.0,113,SENTENCE SERVED,REC6646M1,TRAFFIC - RECKLESS DRIVING 20 MPH OR MORE OVER SPEED LIMIT -LIMIT IS 30 MPH OR LESS,,
2025-00077,F,W,46,1/10/2025  11:00:00 PM,,1/30/2025  8:00:00 AM,19.38,47,SENTENCE SERVED,LAR2337M1,"SHOPLIFT, ALTER PRICE TAGS <$1000 (FIRST TIME)",,
2025-00078,F,W,41,1/10/2025  11:00:00 PM,,1/20/2025  8:00:00 AM,9.38,47,SENTENCE SERVED,LAR2337M1,"SHOPLIFT, ALTER PRICE TAGS <$1000 (FIRST TIME)",,
2025-00079,M,B,29,1/11/2025  4:34:00 AM,,1/14/2025  3:24:00 PM,3.45,109,BOND,ASL1313M1,ASSAULT SIMPLE ASSAULT,,
2025-00080,M,W,49,1/11/2025  11:00:00 AM,,1/11/2025  11:01:00 AM,1.0,113,SENTENCE SERVED,DWI5413M1,DRIVING WHILE INTOXICATED - FIRST CONVICTION,,
2025-00081,M,W,18,1/12/2025  10:55:00 AM,,1/15/2025  1:22:00 PM,3.1,137,BOND,ASL1313M1,ASSAULT SIMPLE ASSAULT,,
2025-00082,M,B,18,1/12/2025  11:19:00 AM,,1/15/2025  1:22:00 PM,3.09,137,BOND,ASL1313M1,ASSAULT SIMPLE ASSAULT,,
2025-00083,M,W,33,1/12/2025  12:31:00 PM,,1/17/2025  1:22:00 PM,5.04,109,BOND,ASL1347F6,ASL-STRANGULATION RESULTING IN WOUNDING OR BODILY INJURY,,
2025-00084,F,W,45,1/12/2025  1:13:00 PM,,1/12/2025  6:45:00 PM,1.0,79,BOND,FAM3808F6,FAMILY OFFENSE GROSS - WANTON - OR RECKLESS CARE FOR CHILD,,
2025-00085,M,W,53,1/12/2025  5:16:00 PM,,1/13/2025  3:25:00 AM,1.0,109,BOND,OBS3712M4,"DRUNK IN PUBLIC, INTOX. FROM DRUG",,
