Booking #,Sex,Race,Age,Book Date,Unnamed: 5,Release Date,Length of Stay,County Code,Release Authority,Offense Code,Offense Description,Unnamed: 12,Unnamed: 13
2025-00718,F,W,53,3/21/2025  7:00:00 PM,,3/21/2025  7:01:00 PM,1.0,65,SENTENCE SERVED,SSV4853M9,SUSPENDED SENTENCE VIOLATION - MISDEMEANOR,,
2025-00719,M,W,54,5/9/2025  7:00:00 PM,,5/10/2025  8:00:00 AM,1.0,109,SENTENCE SERVED,LAR2337M1,"SHOPLIFT, ALTER PRICE TAGS <$1000 (FIRST TIME)",,
2025-00720,M,B,62,3/21/2025  6:00:00 PM,,3/23/2025  6:00:00 PM,2.0,109,SENTENCE SERVED,LAR2337M1,"SHOPLIFT, ALTER PRICE TAGS <$1000 (FIRST TIME)",,
2025-00721,F,W,59,3/21/2025  7:00:00 PM,,3/22/2025  7:00:00 PM,1.0,65,SENTENCE SERVED,DWI5413M1,DRIVING WHILE INTOXICATED - FIRST CONVICTION,,
2025-00722,M,B,37,4/4/2025  6:30:00 PM,,4/6/2025  6:30:00 PM,2.0,79,SENTENCE SERVED,WPN5202M1,WEAPONS CARRY CONCEALED WEAPON,,
2025-00723,M,W,37,3/22/2025  12:08:00 AM,,3/26/2025  9:45:00 AM,4.4,65,JUDGE,NAR3022F5,NARCOTICS POSSESSION,,
2025-00724,M,W,43,3/22/2025  2:14:00 AM,,3/22/2025  10:43:00 AM,1.0,113,BOND,DWI5447S9,TRAFFIC-DRIVING WHILE INTOXICATED-2ND WITHIN 5 TO 10 YRS.,,
2025-00725,M,W,53,3/22/2025  9:07:00 PM,,3/26/2025  6:00:00 PM,3.87,137,BOND,ASL1334F3,ASSAULT STAB - CUT - WOUND WITH MALICIOUS INTENT,,
2025-00726,M,W,38,3/22/2025  9:55:00 PM,,3/22/2025  11:05:00 PM,1.0,79,BOND,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-00727,M,W,66,3/23/2025  5:10:00 AM,,3/23/2025  8:45:00 AM,1.0,113,BOND,DWI5413M1,DRIVING WHILE INTOXICATED - FIRST CONVICTION,,
2025-00728,M,W,49,3/23/2025  7:46:00 AM,,3/23/2025  1:27:00 PM,1.0,79,BOND,DWI5413M1,DRIVING WHILE INTOXICATED - FIRST CONVICTION,,
2025-00729,M,W,45,3/23/2025  6:11:00 PM,,3/24/2025  6:07:00 AM,1.0,113,BOND,OBS3712M4,"DRUNK IN PUBLIC, INTOX. FROM DRUG",,
2025-00730,F,W,49,3/23/2025  10:30:00 PM,,3/24/2025  1:35:00 AM,1.0,137,BOND,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-00731,M,W,39,3/23/2025  11:57:00 AM,,4/25/2025  9:20:00 PM,33.39,47,SENTENCE SERVED,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-00732,M,W,46,3/24/2025  11:07:00 AM,,3/25/2025  2:26:00 PM,1.14,47,JUDGE,CON3283S9,"DISOBEDIENCE/RESISTANCE OF AN OFFICER OF THE COURT, ETC.",,
2025-00733,M,B,43,3/24/2025  11:29:00 AM,,3/27/2025  1:47:00 PM,3.1,79,SENTENCE SERVED,ASL1315M1,ASSAULT SIMPLE ASSAULT - AGAINST FAMILY MEMBER,,
2025-00734,M,B,36,3/24/2025  1:15:00 PM,,8/13/2025  6:50:00 AM,141.73,109,DOC,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-00735,M,W,43,3/24/2025  2:07:00 PM,,3/25/2025  8:25:00 PM,1.26,113,BOND,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-00736,M,W,33,3/24/2025  4:31:00 PM,,3/24/2025  7:37:00 PM,1.0,113,BOND,LAR2366M1,LARCENY LESS THAN $1000 NOT FROM PERSON,,
2025-00737,M,W,37,3/25/2025  12:08:00 AM,,3/28/2025  6:49:00 AM,3.28,161,JUDGE,NAR3022F5,NARCOTICS POSSESSION,,
2025-00738,M,B,57,3/25/2025  7:50:00 AM,,3/26/2025  9:50:00 PM,1.58,113,BOND,DWI5443M1,TRAFFIC - DRIVING WHILE INTOXICATED - FIRST - LEVEL.15 TO .20,,
2025-00739,M,W,28,3/25/2025  9:17:00 AM,,7/15/2025  11:29:00 AM,112.09,47,JUDGE,KID1010F5,KIDNAPPING ABDUCT BY FORCE WITHOUT JUSTIFICATION,,
2025-00740,M,W,40,3/25/2025  9:24:00 AM,,3/28/2025  8:00:00 AM,2.94,137,SENTENCE SERVED,CON5035S9,"FAIL TO APPEAR AFTER CHARGED W/ FELONY/MISD., OR RELEASED ON SUMMONS",,
2025-00741,M,B,52,3/25/2025  12:20:00 PM,,3/26/2025  9:55:00 PM,1.4,109,BOND,NAR3022F5,NARCOTICS POSSESSION,,
2025-00742,M,B,41,3/25/2025  12:14:00 PM,,10/16/2025  2:49:00 PM,205.11,137,JUDGE,NAR3032F5,"SELL, DISTRIBUTE, PWI, ETC. MARIJUANA- > 1 OUNCE TO < 5 LBS",,
2025-00743,M,B,36,3/25/2025  12:14:00 PM,,3/26/2025  7:17:00 AM,1.0,79,JUDGE,LAR2817F6,LARCENY RECEIVE STOLEN FIREARM,,
2025-00744,M,B,44,3/25/2025  2:15:00 PM,,3/26/2025  9:21:00 PM,1.3,79,BOND,CON3286S9,CON - GENERAL - WITHOUT JURY,,
2025-00745,M,B,41,3/25/2025  3:17:00 PM,,4/25/2025  10:05:00 AM,30.78,109,JUDGE,NAR3022F5,NARCOTICS POSSESSION,,
2025-00746,F,B,39,3/25/2025  3:17:00 PM,,7/11/2025  7:55:00 AM,107.69,47,DOC,VAN2956F6,"VANDALISM, DAMAGE PROPERTY INTENTIONALLY - DAMAGE/DESTROY ANY PROPERTY OR MONUMENT >=$1000",,
2025-00747,M,W,47,3/25/2025  3:17:00 PM,,4/23/2025  11:01:00 AM,28.82,109,JUDGE,ASL1342F6,ASSAULT SIMPLE ASSAULT ON LAW ENFORCEMENT - DOC - FIRE/RESCUE PERSONNEL,,
2025-00748,M,W,41,3/25/2025  10:33:00 PM,,3/26/2025  5:28:00 PM,1.0,79,BOND,OBS3712M4,"DRUNK IN PUBLIC, INTOX. FROM DRUG",,
2025-00749,F,W,33,3/25/2025  10:40:00 PM,,5/20/2025  4:18:00 PM,55.73,47,SENTENCE SERVED,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-00750,M,W,47,3/25/2025  11:00:00 PM,,3/27/2025  1:47:00 PM,1.62,109,BOND,PRT2114M1,PRT-VIOLATION OF A PROTECTIVE ORDER (GENERAL),,
2025-00751,M,W,64,3/26/2025  10:24:00 AM,,3/31/2025  1:52:00 PM,5.14,137,JUDGE,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-00752,M,W,19,3/26/2025  12:31:00 PM,,4/14/2025  4:13:00 PM,19.15,65,JUDGE,ASL1315M1,ASSAULT SIMPLE ASSAULT - AGAINST FAMILY MEMBER,,
2025-00753,M,W,60,3/26/2025  1:59:00 PM,,5/20/2025  4:00:00 PM,55.08,79,SENTENCE SERVED,LAR2337M1,"SHOPLIFT, ALTER PRICE TAGS <$1000 (FIRST TIME)",,
2025-00754,M,W,34,3/26/2025  3:51:00 PM,,3/26/2025  6:08:00 PM,1.0,137,BOND,WPN5260F4,WEAPONS POSSESSION,,
2025-00755,F,W,35,3/26/2025  3:57:00 PM,,4/18/2025  1:25:00 PM,22.89,139,JUDGE,NAR3022F5,NARCOTICS POSSESSION,,
2025-00756,M,B,37,3/26/2025  3:57:00 PM,,5/20/2025  6:58:00 AM,54.63,139,DOC,WPN5297F6,"WEAPONS CONVICTED FELON (NON-VIOLENT) POSSESS/TRANSPORT FIREARM, TASER, ETC.",,
2025-00757,M,W,28,3/26/2025  3:57:00 PM,,6/5/2025  8:00:00 AM,70.67,139,BOND,NAR3022F5,NARCOTICS POSSESSION,,
2025-00758,F,W,29,3/26/2025  3:57:00 PM,,4/10/2025  9:41:00 AM,14.74,139,JUDGE,NAR3045F9,"SALE, ETC FOR PROFIT SCHEDULE I OR II DRUGS",,
2025-00759,M,B,61,3/26/2025  5:20:00 PM,,,280.28,47,,SEX3643F5,SEX-CHILD UNDER AGE 15,,
2025-00760,F,B,36,3/26/2025  6:00:00 PM,,5/7/2025  7:40:00 AM,41.57,109,DOC,ASL1334F3,ASSAULT STAB - CUT - WOUND WITH MALICIOUS INTENT,,
2025-00761,F,W,61,3/26/2025  9:45:00 PM,,3/27/2025  9:46:00 AM,1.0,109,BOND,CON5035S9,"FAIL TO APPEAR AFTER CHARGED W/ FELONY/MISD., OR RELEASED ON SUMMONS",,
2025-00762,M,W,29,3/27/2025  6:24:00 AM,,3/27/2025  12:22:00 PM,1.0,109,BOND,OBS3712M4,"DRUNK IN PUBLIC, INTOX. FROM DRUG",,
2025-00763,M,B,53,3/27/2025  11:00:00 AM,,,279.54,109,,MUR0925F2,MURDER FIRST DEGREE,,
2025-00764,F,W,46,3/27/2025  1:02:00 PM,,5/26/2025  8:00:00 AM,59.79,47,SENTENCE SERVED,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-00765,M,W,45,3/27/2025  5:07:00 PM,,5/18/2025  8:00:00 AM,51.62,139,SENTENCE SERVED,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-00766,M,B,33,3/27/2025  7:55:00 PM,,8/4/2025  6:45:00 PM,129.95,109,SENTENCE SERVED,LAR2354F9,"SHOPLIFT, ALTER PRICE TAGS>=$1000",,
2025-00767,M,W,24,3/27/2025  11:15:00 PM,,3/28/2025  1:55:00 AM,1.0,113,BOND,DWI5413M1,DRIVING WHILE INTOXICATED - FIRST CONVICTION,,
2025-00768,F,W,32,3/28/2025  2:30:00 AM,,3/28/2025  3:39:00 PM,1.0,113,BOND,OBS3712M4,"DRUNK IN PUBLIC, INTOX. FROM DRUG",,
2025-00769,M,W,50,3/28/2025  3:15:00 AM,,3/28/2025  5:00:00 PM,1.0,79,BOND,OBS3712M4,"DRUNK IN PUBLIC, INTOX. FROM DRUG",,
2025-00770,M,B,39,3/28/2025  9:05:00 AM,,7/2/2025  8:00:00 AM,95.95,47,SENTENCE SERVED,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-00771,M,B,64,3/28/2025  9:05:00 AM,,7/12/2025  8:00:00 AM,105.95,47,SENTENCE SERVED,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-00772,M,W,23,3/28/2025  9:05:00 AM,,,278.62,47,,ASL1342F6,ASSAULT SIMPLE ASSAULT ON LAW ENFORCEMENT - DOC - FIRE/RESCUE PERSONNEL,,
2025-00773,M,W,52,3/28/2025  9:05:00 AM,,9/10/2025  5:25:00 AM,165.85,47,DOC,NAR3022F5,NARCOTICS POSSESSION,,
2025-00774,M,B,38,3/28/2025  9:05:00 AM,,6/27/2025  8:00:00 AM,90.95,47,SENTENCE SERVED,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-00775,M,W,45,3/28/2025  10:00:00 AM,,3/28/2025  10:01:00 AM,1.0,109,SENTENCE SERVED,ASL1315M1,ASSAULT SIMPLE ASSAULT - AGAINST FAMILY MEMBER,,
2025-00776,F,B,20,3/28/2025  11:25:00 AM,,9/3/2025  6:55:00 AM,158.81,47,DOC,OBS3731F6,OBS-POSSESS CHILD PORN (FIRST OFFENSE),,
2025-00777,M,W,37,3/28/2025  1:30:00 PM,,3/28/2025  1:31:00 PM,1.0,109,SENTENCE SERVED,PRT5007M1,PROTECTIVE ORDERS VIOLATION OF A PROTECTIVE ORDER,,
2025-00778,M,W,32,3/28/2025  2:40:00 PM,,5/13/2025  9:10:00 AM,45.77,109,JUDGE,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-00779,F,W,33,3/28/2025  2:40:00 PM,,4/16/2025  3:00:00 PM,19.01,109,STATUS CHANGE,DES3237M1,DESERTION AND NONSUPPORT FAIL TO COMPLY WITH SUPPORT OBLIGATION - PAYROLL DEDUCTION,,
2025-00780,F,W,27,3/28/2025  2:55:00 PM,,4/17/2025  9:09:00 AM,19.76,47,SENTENCE SERVED,LAR2304F9,LAR-CONSPIRE COMMIT OR ASSIST/LARCENYW/AGGREGATE >$1000,,
2025-00781,M,W,33,3/28/2025  4:20:00 PM,,3/28/2025  5:00:00 PM,1.0,109,PURGE,DES3237M1,DESERTION AND NONSUPPORT FAIL TO COMPLY WITH SUPPORT OBLIGATION - PAYROLL DEDUCTION,,
2025-00782,M,W,38,3/28/2025  7:00:00 PM,,3/29/2025  7:00:00 PM,1.0,65,SENTENCE SERVED,DWI5413M1,DRIVING WHILE INTOXICATED - FIRST CONVICTION,,
2025-00783,M,W,31,3/28/2025  7:00:00 PM,,4/2/2025  7:00:00 PM,5.0,65,SENTENCE SERVED,REC6646M1,TRAFFIC - RECKLESS DRIVING 20 MPH OR MORE OVER SPEED LIMIT -LIMIT IS 30 MPH OR LESS,,
2025-00784,M,W,39,3/28/2025  8:10:00 PM,,4/24/2025  9:14:00 AM,26.54,79,JUDGE,NAR3022F5,NARCOTICS POSSESSION,,
2025-00785,F,W,28,3/28/2025  9:19:00 PM,,4/2/2025  12:12:00 PM,4.62,79,BOND,NAR3022F5,NARCOTICS POSSESSION,,
2025-00786,F,W,27,3/28/2025  8:30:00 PM,,4/17/2025  4:00:00 PM,19.81,47,SENTENCE SERVED,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-00787,M,W,43,3/28/2025  11:29:00 PM,,,278.02,79,,PRT5002F6,PRT-VIOLATION OF PROTECTION ORDER (VIOLENCE) 3RD W/20 YRS,,
2025-00788,F,W,54,3/29/2025  10:00:00 AM,,4/14/2025  5:20:00 PM,16.31,47,BOND,LAR2412F6,"UNAUTHORIZED USE OF ANIMAL, AUTO, BOAT WORTH $1000 OR MORE",,
2025-00789,M,W,33,3/29/2025  6:15:00 PM,,7/1/2025  12:08:00 PM,93.75,109,JUDGE,ASL1347F6,ASL-STRANGULATION RESULTING IN WOUNDING OR BODILY INJURY,,
2025-00790,F,W,50,3/29/2025  7:03:00 PM,,3/30/2025  2:30:00 PM,1.0,137,BOND,NAR3022F5,NARCOTICS POSSESSION,,
2025-00791,M,W,34,3/30/2025  2:35:00 AM,,3/30/2025  5:15:00 AM,1.0,79,BOND,DWI5413M1,DRIVING WHILE INTOXICATED - FIRST CONVICTION,,
2025-00792,M,W,56,3/30/2025  3:50:00 AM,,3/30/2025  10:50:00 AM,1.0,113,BOND,DWI5413M1,DRIVING WHILE INTOXICATED - FIRST CONVICTION,,
2025-00793,M,B,27,3/30/2025  7:30:00 AM,,3/31/2025  1:45:00 PM,1.26,109,BOND,TRS5717M1,TRESPASS INTENT TO DAMAGE PROPERTY/ INTERFERE W/PROPERTY RIGHTS,,
2025-00794,M,W,54,3/30/2025  10:30:00 AM,,3/30/2025  9:45:00 PM,1.0,137,BOND,OBS3712M4,"DRUNK IN PUBLIC, INTOX. FROM DRUG",,
2025-00795,M,W,22,3/30/2025  12:47:00 PM,,4/4/2025  10:20:00 AM,4.9,137,SENTENCE SERVED,STK2109M1,"STALKING WITH INTENT TO CAUSE FEAR, ASSAULT OR INJURY",,
2025-00796,M,W,42,3/31/2025  6:15:00 AM,,3/31/2025  3:42:00 PM,1.0,109,BOND,DWI5443M1,TRAFFIC - DRIVING WHILE INTOXICATED - FIRST - LEVEL.15 TO .20,,
2025-00797,M,W,40,3/31/2025  6:00:00 PM,,4/1/2025  6:00:00 PM,1.0,79,SENTENCE SERVED,TEL3245M1,TELEPHONE ABUSIVE - PROFANE - THREATENING CALLS ON PHONE - C.B. RADIO,,
2025-00798,M,W,46,3/31/2025  7:41:00 PM,,4/2/2025  2:01:00 PM,1.76,79,BOND,ANM3302M1,ANM-CRUELTY TO ANIMALS,,
2025-00799,M,W,34,4/1/2025  1:39:00 AM,,7/28/2025  4:00:00 PM,118.6,109,SENTENCE SERVED,CDI4841S9,"PAROLE, PROBATION, SUPERVISION VIOLATION CDI VIOLATION",,
2025-00800,M,B,46,4/1/2025  7:49:00 AM,,4/1/2025  6:15:00 PM,1.0,137,BOND,PRT2114M1,PRT-VIOLATION OF A PROTECTIVE ORDER (GENERAL),,
2025-00801,M,W,40,4/1/2025  8:53:00 AM,,4/21/2025  12:50:00 PM,20.16,137,JUDGE,FRD2520F5,FRAUD FORGERY,,
2025-00802,M,W,52,4/1/2025  9:00:00 AM,,4/3/2025  4:00:00 PM,2.29,137,SENTENCE SERVED,PRB4851M9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - MISDEMEANOR",,
2025-00803,M,W,48,4/1/2025  10:31:00 AM,,4/4/2025  10:00:00 AM,2.98,137,JUDGE,NAR3022F5,NARCOTICS POSSESSION,,
2025-00804,M,W,37,4/1/2025  12:23:00 PM,,4/3/2025  11:07:00 PM,2.45,65,HOSPITAL/TREATMENT,NAR3022F5,NARCOTICS POSSESSION,,
2025-00805,M,W,33,4/1/2025  1:40:00 PM,,4/21/2025  7:25:00 PM,20.24,109,BOND,ASL1315M1,ASSAULT SIMPLE ASSAULT - AGAINST FAMILY MEMBER,,
2025-00806,M,W,27,4/1/2025  1:59:00 PM,,8/19/2025  10:38:00 AM,139.86,113,JUDGE,REC6624F6,TRAFFIC - RECKLESS DRIVING DISREGARD POLICE COMMAND TO STOP - ENDANGERMENT,,
2025-00807,M,B,62,4/1/2025  3:20:00 PM,,4/28/2025  5:29:00 PM,27.09,65,BOND,ARS2023F5,"ARSON, EXPLOSIVES, BOMBS OFFENDER 15 OR OVER",,
2025-00808,F,W,44,4/1/2025  3:42:00 PM,,4/4/2025  7:35:00 AM,2.66,65,JUDGE,NAR3022F5,NARCOTICS POSSESSION,,
2025-00809,M,B,32,4/1/2025  4:04:00 PM,,4/21/2025  6:00:00 PM,20.08,79,SUSPENDED SENTENCE,NAR3022F5,NARCOTICS POSSESSION,,
2025-00810,M,W,52,4/1/2025  4:40:00 PM,,8/19/2025  9:19:00 AM,139.69,3,JUDGE,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-00811,M,W,56,4/1/2025  6:29:00 PM,,4/4/2025  8:55:00 AM,2.6,87,JUDGE,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-00812,F,B,39,4/2/2025  12:42:00 PM,,6/27/2025  9:19:00 AM,85.86,881,RELEASE TO FEDERAL,PRI9905S9,PRISONERS FEDERAL - FELONY,,
2025-00813,M,W,38,4/2/2025  12:42:00 PM,,4/30/2025  5:22:00 AM,27.69,139,DOC,NAR3045F9,"SALE, ETC FOR PROFIT SCHEDULE I OR II DRUGS",,
2025-00814,M,W,61,4/2/2025  2:20:00 PM,,8/22/2025  6:24:00 AM,141.67,109,DOC,NAR3045F9,"SALE, ETC FOR PROFIT SCHEDULE I OR II DRUGS",,
2025-00815,F,B,65,4/2/2025  7:20:00 PM,,4/2/2025  9:35:00 PM,1.0,109,HOSPITAL/TREATMENT,LAR2707F9,LARCENY EMBEZZLEMENT - $1000 OR MORE,,
2025-00816,F,W,47,4/2/2025  10:05:00 PM,,4/3/2025  4:40:00 AM,1.0,79,BOND,OBS3712M4,"DRUNK IN PUBLIC, INTOX. FROM DRUG",,
2025-00817,F,B,65,4/2/2025  9:36:00 PM,,4/3/2025  3:29:00 AM,1.0,109,HOSPITAL/TREATMENT,LAR2707F9,LARCENY EMBEZZLEMENT - $1000 OR MORE,,
2025-00818,F,B,65,4/3/2025  3:30:00 AM,,9/3/2025  6:55:00 AM,153.14,109,DOC,LAR2707F9,LARCENY EMBEZZLEMENT - $1000 OR MORE,,
2025-00819,M,W,29,4/3/2025  12:36:00 PM,,5/9/2025  9:00:00 AM,35.85,47,BOND,LAR2304F9,LAR-CONSPIRE COMMIT OR ASSIST/LARCENYW/AGGREGATE >$1000,,
2025-00820,M,W,52,4/3/2025  2:05:00 PM,,7/16/2025  7:37:00 AM,103.73,109,JUDGE,FRD2520F5,FRAUD FORGERY,,
2025-00821,M,W,53,4/3/2025  3:08:00 PM,,5/12/2025  6:17:00 PM,39.13,139,SENTENCE SERVED,PRT5007M1,PROTECTIVE ORDERS VIOLATION OF A PROTECTIVE ORDER,,
2025-00822,M,W,40,4/3/2025  4:13:00 PM,,4/14/2025  7:30:00 AM,10.64,65,BOND,NAR3022F5,NARCOTICS POSSESSION,,
2025-00823,F,W,50,4/3/2025  4:28:00 PM,,4/7/2025  10:38:00 PM,4.26,109,HOSPITAL/TREATMENT,ASL1334F3,ASSAULT STAB - CUT - WOUND WITH MALICIOUS INTENT,,
2025-00824,M,W,37,4/3/2025  11:08:00 PM,,4/4/2025  3:32:00 PM,1.0,65,HOSPITAL/TREATMENT,NAR3022F5,NARCOTICS POSSESSION,,
2025-00825,M,W,38,4/4/2025  12:18:00 AM,,4/4/2025  11:29:00 AM,1.0,79,BOND,OBS3712M4,"DRUNK IN PUBLIC, INTOX. FROM DRUG",,
2025-00826,F,W,35,4/4/2025  10:30:00 AM,,5/29/2025  7:26:00 AM,54.87,79,JUDGE,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-00827,M,W,31,4/4/2025  12:07:00 PM,,9/8/2025  8:00:00 AM,156.83,109,SENTENCE SERVED,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-00828,M,W,36,4/4/2025  12:07:00 PM,,5/19/2025  3:50:00 PM,45.15,109,JUDGE,KID1010F5,KIDNAPPING ABDUCT BY FORCE WITHOUT JUSTIFICATION,,
2025-00829,F,B,37,4/4/2025  1:00:00 PM,,4/23/2025  8:00:00 AM,18.79,47,SENTENCE SERVED,DWI5448S9,TRAFFIC-DRIVING WHILE INTOXICATED-2ND WITHIN LESS THAN 5YRS.,,
2025-00830,F,B,29,4/4/2025  1:00:00 PM,,4/25/2025  6:08:00 PM,21.21,47,JUDGE,BND9975S9,BND - VIOLATIONS OF CONDITIONS OF RELEASE,,
2025-00831,M,W,28,4/4/2025  1:50:00 PM,,4/8/2025  8:53:00 AM,3.79,79,JUDGE,ASL1315M1,ASSAULT SIMPLE ASSAULT - AGAINST FAMILY MEMBER,,
2025-00832,M,W,62,4/4/2025  2:40:00 PM,,4/8/2025  8:21:00 AM,3.74,137,JUDGE,FRD2514F4,FRAUD COINS OR BANK NOTES,,
2025-00833,M,W,34,4/4/2025  3:20:00 PM,,8/6/2025  1:16:00 PM,123.91,137,JUDGE,FRD2520F5,FRAUD FORGERY,,
2025-00834,M,B,42,4/4/2025  3:20:00 PM,,,271.36,47,,NAR3022F5,NARCOTICS POSSESSION,,
2025-00835,M,W,43,4/4/2025  4:28:00 PM,,5/12/2025  3:06:00 PM,37.94,47,SENTENCE SERVED,DWI5444M1,TRAFFIC - DRIVING WHILE INTOXICATED - FIRST - LEVEL > .20,,
2025-00836,M,W,37,4/4/2025  3:33:00 PM,,7/17/2025  7:45:00 AM,103.68,65,JUDGE,NAR3022F5,NARCOTICS POSSESSION,,
2025-00837,M,W,60,4/4/2025  6:00:00 PM,,4/4/2025  6:01:00 PM,1.0,137,SENTENCE SERVED,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-00838,M,W,27,4/4/2025  7:00:00 PM,,4/4/2025  7:01:00 PM,1.0,79,SENTENCE SERVED,SEX3635F6,SEX OFFENSES TAKE INDECENT LIBERTIES WITH CHILD-CUSTODIAN,,
2025-00839,M,B,30,5/2/2025  7:00:00 PM,,5/3/2025  7:00:00 PM,1.0,109,SENTENCE SERVED,LIC6858M1,"LICENSE REVOKED, DRIVE AFTER - NO ENDANGERMENT",,
2025-00840,M,W,22,4/11/2025  7:00:00 PM,,4/13/2025  7:00:00 PM,2.0,137,SENTENCE SERVED,DWI5444M1,TRAFFIC - DRIVING WHILE INTOXICATED - FIRST - LEVEL > .20,,
2025-00841,M,W,31,4/4/2025  7:00:00 PM,,4/6/2025  7:00:00 PM,2.0,137,SENTENCE SERVED,DWI5413M1,DRIVING WHILE INTOXICATED - FIRST CONVICTION,,
2025-00842,F,W,30,4/4/2025  7:58:00 PM,,4/5/2025  9:24:00 AM,1.0,137,BOND,ASL1315M1,ASSAULT SIMPLE ASSAULT - AGAINST FAMILY MEMBER,,
2025-00843,M,W,34,4/5/2025  12:47:00 AM,,9/3/2025  8:00:00 AM,151.3,79,SENTENCE SERVED,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-00844,M,B,27,4/5/2025  5:20:00 AM,,4/29/2025  6:13:00 AM,24.04,47,JUDGE,LAR2404F9,LARCENY AUTO THEFT - GRAND LARCENY,,
2025-00845,M,B,65,4/5/2025  5:47:00 AM,,4/29/2025  3:40:00 PM,24.41,47,JUDGE,PRB4850F9,"PAROLE, PROBATION, SUPERVISION VIOLATION PROBATION VIOLATION - FELONY",,
2025-00846,M,W,21,4/5/2025  4:39:00 PM,,4/5/2025  7:10:00 PM,1.0,137,BOND,DWI5407M1,TRAFFIC - DRIVING WHILE INTOXICATED DRIVING ON SUSPENDED LICENSE AFTER DWI CONVICTION,,
2025-00847,M,W,39,4/5/2025  7:14:00 PM,,4/9/2025  12:43:00 PM,3.73,79,JUDGE,NAR3014M1,NARCOTICS INHALE DRUGS - GLUE - ETC.,,
2025-00848,M,W,25,4/5/2025  10:45:00 PM,,4/6/2025  10:53:00 AM,1.0,109,BOND,OBS3712M4,"DRUNK IN PUBLIC, INTOX. FROM DRUG",,
2025-00849,F,W,29,4/6/2025  5:18:00 AM,,6/6/2025  8:00:00 AM,61.11,137,SENTENCE SERVED,DWI5449F6,TRAFFIC-DRIVING WHILE INTOXICATED-3RD WITHIN 10 YEARS,,
2025-00850,M,W,39,4/6/2025  9:35:00 PM,,4/8/2025  3:12:00 PM,1.73,113,BOND,PRT5007M1,PROTECTIVE ORDERS VIOLATION OF A PROTECTIVE ORDER,,
2025-00851,F,B,41,4/7/2025  3:42:00 AM,,4/7/2025  3:03:00 PM,1.0,109,BOND,ASL1315M1,ASSAULT SIMPLE ASSAULT - AGAINST FAMILY MEMBER,,
2025-00852,M,B,25,4/4/2025  4:53:00 PM,,4/17/2025  10:26:00 AM,12.73,109,OUT OF STATE,FRD2743F9,FRAUD FALSE PRETENSES - OBTAIN MONEY BY - >=$1000,,
2025-00853,M,W,35,4/7/2025  8:35:00 AM,,5/10/2025  8:00:00 AM,32.98,137,SENTENCE SERVED,CON5035S9,"FAIL TO APPEAR AFTER CHARGED W/ FELONY/MISD., OR RELEASED ON SUMMONS",,
2025-00854,M,W,29,4/7/2025  10:40:00 AM,,4/16/2025  7:00:00 PM,9.35,113,SENTENCE SERVED,BUR2219F6,BURGLARY OCCUPIED DWELLING - ENTER - INTENT TO COMMIT MISD.,,
2025-00855,M,W,20,4/7/2025  11:00:00 AM,,,268.54,109,,OBS3732F5,OBS-POSSESS CHILD PORN (SUBSEQUENT OFFENSE),,
